SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5/14/2021 12:00:00 AM,1,56,62
5/15/2021 12:00:00 AM,6,714,748
5/17/2021 12:00:00 AM,1,192,201
5/20/2021 12:00:00 AM,2,223,236
5/21/2021 12:00:00 AM,3,341,398
5/22/2021 12:00:00 AM,4,727,794
5/24/2021 12:00:00 AM,2,301,319
5/25/2021 12:00:00 AM,3,832,855
5/26/2021 12:00:00 AM,2,623,657
5/27/2021 12:00:00 AM,3,704,723
5/28/2021 12:00:00 AM,2,239,258
5/29/2021 12:00:00 AM,2,602,657
5/30/2021 12:00:00 AM,1,270,291
5/31/2021 12:00:00 AM,3,656,724
6/1/2021 12:00:00 AM,1,539,587
6/2/2021 12:00:00 AM,2,204,221
6/3/2021 12:00:00 AM,1,497,574
6/4/2021 12:00:00 AM,2,405,436
6/5/2021 12:00:00 AM,2,657,685
6/6/2021 12:00:00 AM,1,564,586
6/9/2021 12:00:00 AM,1,542,577
6/10/2021 12:00:00 AM,2,209,217
6/11/2021 12:00:00 AM,3,552,586
6/12/2021 12:00:00 AM,2,685,759
6/13/2021 12:00:00 AM,1,280,299
6/14/2021 12:00:00 AM,1,390,415
6/15/2021 12:00:00 AM,2,503,527
6/16/2021 12:00:00 AM,2,284,309
6/17/2021 12:00:00 AM,2,580,645
6/18/2021 12:00:00 AM,2,626,660
6/19/2021 12:00:00 AM,1,152,163
6/20/2021 12:00:00 AM,3,458,498
6/21/2021 12:00:00 AM,1,537,562
6/22/2021 12:00:00 AM,2,454,503
6/23/2021 12:00:00 AM,1,143,154
6/24/2021 12:00:00 AM,1,528,571
6/25/2021 12:00:00 AM,1,275,278
6/26/2021 12:00:00 AM,1,619,698
6/27/2021 12:00:00 AM,1,534,580
6/28/2021 12:00:00 AM,2,455,508
6/29/2021 12:00:00 AM,2,712,777
6/30/2021 12:00:00 AM,1,521,530
7/1/2021 12:00:00 AM,1,233,262
7/2/2021 12:00:00 AM,1,83,90
7/3/2021 12:00:00 AM,1,585,635
7/4/2021 12:00:00 AM,1,524,563
7/5/2021 12:00:00 AM,2,236,250
7/6/2021 12:00:00 AM,1,540,583
7/7/2021 12:00:00 AM,2,508,528
7/8/2021 12:00:00 AM,1,564,594
7/9/2021 12:00:00 AM,1,523,533
7/10/2021 12:00:00 AM,1,441,474
7/11/2021 12:00:00 AM,1,77,87
7/12/2021 12:00:00 AM,1,523,562
7/13/2021 12:00:00 AM,1,455,517
7/14/2021 12:00:00 AM,1,480,481
7/15/2021 12:00:00 AM,1,283,293
7/16/2021 12:00:00 AM,2,682,736
7/17/2021 12:00:00 AM,1,525,586
7/18/2021 12:00:00 AM,2,473,514
